trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
668,False,"{'a': 0.5, 'e': 0.035141309273869846}",25,14,19.394909384637494,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
669,False,"{'a': 0.5, 'e': 0.034965602727500496}",25,20,10.334775710211193,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
670,False,"{'a': 0.5, 'e': 0.03479077471386299}",20,6,25.13127341124701,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
671,False,"{'a': 0.5, 'e': 0.03461682084029368}",20,14,10.246657667159871,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
672,False,"{'a': 0.5, 'e': 0.03444373673609221}",35,19,36.138234782940074,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
673,False,"{'a': 0.5, 'e': 0.03427151805241175}",20,9,21.049551740360403,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
674,False,"{'a': 0.5, 'e': 0.03410016046214969}",25,8,9.358142404481725,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
675,False,"{'a': 0.5, 'e': 0.03392965965983894}",30,7,-5.696550859473741,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
676,False,"{'a': 0.5, 'e': 0.03376001136153975}",20,8,21.75052009326564,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
677,False,"{'a': 0.5, 'e': 0.03359121130473205}",25,18,16.143941123836818,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
678,False,"{'a': 0.5, 'e': 0.03342325524820839}",25,14,5.469460364739247,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
679,False,"{'a': 0.5, 'e': 0.033256138971967344}",25,12,26.852934670548184,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
680,False,"{'a': 0.5, 'e': 0.03308985827710751}",20,16,7.89577209948907,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
681,False,"{'a': 0.5, 'e': 0.03292440898572197}",25,15,19.247943018954906,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
682,False,"{'a': 0.5, 'e': 0.03275978694079336}",20,12,16.710496807722755,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
683,False,"{'a': 0.5, 'e': 0.03259598800608939}",20,12,18.690764801744074,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
684,False,"{'a': 0.5, 'e': 0.03243300806605895}",25,15,19.41298272763002,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
685,False,"{'a': 0.5, 'e': 0.032270843025728656}",20,0,25.73802061542715,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
686,False,"{'a': 0.5, 'e': 0.03210948881060001}",25,17,13.90084342241892,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
687,False,"{'a': 0.5, 'e': 0.03194894136654701}",20,10,18.223756674940905,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
688,False,"{'a': 0.5, 'e': 0.031789196659714275}",25,14,21.930703893838587,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
689,False,"{'a': 0.5, 'e': 0.0316302506764157}",30,13,30.197237974984642,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
690,False,"{'a': 0.5, 'e': 0.031472099423033625}",30,15,31.3062271688986,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
691,False,"{'a': 0.5, 'e': 0.031314738925918455}",20,9,15.357689087890508,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
